332,164,0.02,-414,Loss
333,188,0.01,-418,Loss
334,35,0.02,-295,Loss
335,39,0.02,-289,Loss
336,210,0.02,-470,Loss
337,124,0.01,-384,Loss
338,35,0.01,-295,Loss
339,211,0.02,-441,Loss
340,344,0.02,-564,Loss
341,152,0.02,-382,Loss
342,148,0.02,-168,Loss
343,385,0.01,-635,Loss
344,60,0.02,-330,Loss
345,316,0.02,-576,Loss
346,37,0.01,-287,Loss
347,104,0.01,-354,Loss
348,287,0.02,-517,Loss
349,289,0.02,-509,Loss
350,278,0.02,-498,Loss
351,176,0.02,-406,Loss
352,403,0.02,-623,Loss
353,304,0.01,-524,Loss
354,212,0.02,-432,Loss
355,142,0.02,-412,Loss
356,137,0.02,-397,Loss
357,142,0.02,-412,Loss
358,152,0.02,-412,Loss
359,187,0.02,-457,Loss
360,252,0.01,-522,Loss
361,32,0.02,-282,Loss
362,85,0.03,-425,Loss
363,188,0.01,-438,Loss
364,113,0.03,-453,Loss
365,235,0.01,-455,Loss
366,144,0.02,-404,Loss
367,524,0.02,-774,Loss
368,350,0.02,-600,Loss
369,20,0.02,-370,Loss
370,155,0.02,-425,Loss
371,102,0.03,-362,Loss
372,398,0.01,-658,Loss
373,219,0.02,-449,Loss
374,128,0.02,-388,Loss
375,156,0.03,-426,Loss
376,120,0.03,-380,Loss
377,243,0.01,-513,Loss
378,159,0.02,-419,Loss
379,39,0.03,-329,Loss
380,12,0.02,-402,Loss
381,96,0.02,-356,Loss
382,90,0.02,-350,Loss
383,11,0.02,-401,Loss
384,53,0.02,-323,Loss
385,18,0.02,-388,Loss
386,18,0.02,-388,Loss
387,11,0.02,-401,Loss
388,164,0.02,-414,Loss
389,11,0.02,-411,Loss
390,12,0.02,-412,Loss
391,79,0.02,-139,Loss
392,47,0.03,-297,Loss
393,12,0.02,-402,Loss
394,36,0.02,-306,Loss
395,31,0.03,-361,Loss
396,12,0.02,-402,Loss
397,33,0.03,-303,Loss
398,64,0.02,-124,Loss
399,12,0.02,-402,Loss
400,36,0.02,-306,Loss
401,11,0.02,-401,Loss
402,99,0.03,-359,Loss
403,48,0.02,-318,Loss
404,37,0.02,-297,Loss
405,11,0.02,-411,Loss
406,12,0.02,-402,Loss
407,12,0.02,-412,Loss
408,150,0.02,-400,Loss
409,44,0.03,-344,Loss
410,11,0.02,-401,Loss
411,48,0.03,-318,Loss
412,30,0.02,-300,Loss
413,12,0.02,-402,Loss
414,12,0.02,-402,Loss
415,99,0.03,-379,Loss
416,29,0.02,-299,Loss
417,11,0.02,-401,Loss
418,20,0.04,-370,Loss
419,120,0.02,-380,Loss
420,12,0.02,-402,Loss
421,11,0.02,-411,Loss
422,29,0.01,-299,Loss
423,147,0.02,-407,Loss
424,12,0.02,-412,Loss
425,18,0.03,-388,Loss
426,29,0.02,-299,Loss
427,54,0.02,-304,Loss
428,11,0.02,-401,Loss
429,23,0.03,-373,Loss
430,81,0.02,-141,Loss
431,11,0.02,-411,Loss
432,11,0.02,-411,Loss
